2020-03-25 19:21:32,402 [AUDIT] Token created by 'jffe@000': tokenId='0148511e-9858-4c36-8aa8-681224714c22', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1585164692398, refreshable=false
2020-03-25 19:21:54,597 [AUDIT] Token created by 'jffe@000': tokenId='c64d4972-0b8e-492a-a500-44fb7f8313b1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1585164714592, refreshable=false
2020-03-25 19:22:55,546 [AUDIT] Token created by 'anonymous': tokenId='7564de38-74e5-4e3d-b373-959595bd0c61', issuer='jfrou@01e49j78r7vs30xv5qb9mj5w52', subject='jfrou@01e49j78r7vs30xv5qb9mj5w52', expiry=none, refreshable=false
2020-03-25 19:22:59,534 [AUDIT] Token created by 'anonymous': tokenId='2edc0f12-ce23-4004-ad90-eada75454bf0', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585164299531, refreshable=false
2020-03-25 19:22:59,677 [AUDIT] Token created by 'anonymous': tokenId='7f1176c8-4fcd-494a-8a6d-78b96227e140', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585164299668, refreshable=false
2020-03-25 19:22:59,899 [AUDIT] Token created by 'anonymous': tokenId='5fe48d8d-fafc-4ab8-bf2b-679340b19eda', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585164299895, refreshable=false
2020-03-25 19:23:00,172 [AUDIT] Token created by 'anonymous': tokenId='93be8ac5-2622-4421-82c7-c42a75abde30', issuer='jfmd@01e49j7a9f9sx346488s7y6rc7', subject='jfmd@01e49j7a9f9sx346488s7y6rc7', expiry=none, refreshable=false
2020-03-25 19:23:00,317 [AUDIT] Token created by 'anonymous': tokenId='a28088a8-3373-4e23-bce6-2c312a220714', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585164300311, refreshable=false
2020-03-25 19:23:01,023 [AUDIT] Token created by 'anonymous': tokenId='9a9d88ec-e7ac-42f9-9e1e-3e78c8cc9a23', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=none, refreshable=false
2020-03-25 19:23:02,700 [AUDIT] Token created by 'jfrt@01e49j7nt5qc6w0satw40506g3': tokenId='0629eccd-0620-476c-b67e-3153456c9d64', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=2531244182697, refreshable=false
2020-03-25 19:23:09,719 [AUDIT] Token created by 'anonymous': tokenId='ff7b316a-566e-4b35-a430-17b92fe864f3', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-03-25 19:23:09,765 [AUDIT] Token created by 'jffe@000': tokenId='2113cdba-81fb-4e46-aa0b-10b3f63a50f4', issuer='jffe@000', subject='jffe@000', expiry=1585164789763, refreshable=false
2020-03-25 19:23:37,423 [AUDIT] Token created by 'jffe@000': tokenId='8410cfa6-9433-4c14-bdf6-6635882439db', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1585164817421, refreshable=false
2020-03-25 19:25:20,236 [AUDIT] Token created by 'jffe@000': tokenId='f0cade13-569b-4bda-8663-b834897c4cb0', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1585164920223, refreshable=false
2020-03-25 19:31:23,157 [AUDIT] Token created by 'anonymous': tokenId='37d741b0-72d3-4c0d-833f-45556387b1da', issuer='jfrou@01e49j78r7vs30xv5qb9mj5w52', subject='jfrou@01e49j78r7vs30xv5qb9mj5w52', expiry=none, refreshable=false
2020-03-25 19:31:31,121 [AUDIT] Token created by 'anonymous': tokenId='04aa40af-4ae1-4891-bf6e-ff2d6fa04a8b', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585164811113, refreshable=false
2020-03-25 19:31:31,364 [AUDIT] Token created by 'anonymous': tokenId='debfb760-48f1-4986-8812-bb99193231b5', issuer='jfmd@01e49j7a9f9sx346488s7y6rc7', subject='jfmd@01e49j7a9f9sx346488s7y6rc7', expiry=none, refreshable=false
2020-03-25 19:31:32,220 [AUDIT] Token created by 'anonymous': tokenId='b6a95f58-a751-4b66-ad97-ce4a9ecb071f', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=none, refreshable=false
2020-03-25 19:31:34,558 [AUDIT] Token created by 'jfrt@01e49j7nt5qc6w0satw40506g3': tokenId='7fc9e927-fd99-44c0-9121-9dc0d81f5885', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=2531244694550, refreshable=false
2020-03-25 19:31:46,143 [AUDIT] Token created by 'anonymous': tokenId='b6e104dc-1e9d-49eb-a91e-ff22705e6e48', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-03-25 19:31:46,360 [AUDIT] Token created by 'jffe@000': tokenId='e675ff39-654d-4d8b-baba-4a3584278858', issuer='jffe@000', subject='jffe@000', expiry=1585165306351, refreshable=false
2020-03-25 19:31:57,240 [AUDIT] Token created by 'jffe@000': tokenId='94f789ae-98a0-406f-8336-044f3fb03403', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1585165317226, refreshable=false
2020-03-25 19:31:58,102 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='0f5c6854-785a-45de-bbac-3f8853016a5a', tokenId='08c1bb51-bf4e-492b-8b82-887de916ab43', issuer='jffe@000', subject='admin', expiry=1585166518081, refreshable=true
2020-03-25 19:31:58,135 [AUDIT] Token created by 'jffe@000': tokenId='0e1ff9e4-6533-45e6-9a8d-9eab320355ca', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1585165318128, refreshable=false
2020-03-25 19:31:58,148 [AUDIT] Token created by 'jffe@000': tokenId='ee8224a2-b796-4a4b-98d0-7e1b48813fd8', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1585165318143, refreshable=false
2020-03-25 19:31:58,152 [AUDIT] Token created by 'jffe@000': tokenId='9da2b114-1f59-4af3-b2de-1b85cc3a4b4b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1585165318146, refreshable=false
2020-03-25 19:37:19,321 [AUDIT] Token created by 'anonymous': tokenId='e1b01c0d-403e-4692-a0cd-65de46beb5aa', issuer='jfrou@01e49j78r7vs30xv5qb9mj5w52', subject='jfrou@01e49j78r7vs30xv5qb9mj5w52', expiry=none, refreshable=false
2020-03-25 19:37:19,479 [AUDIT] Token revoked by 'anonymous': tokenId='37d741b0-72d3-4c0d-833f-45556387b1da', issuer='jfrou@01e49j78r7vs30xv5qb9mj5w52', subject='jfrou@01e49j78r7vs30xv5qb9mj5w52', expiry=none, refreshable=false
